Date,Time (24h),Humidity(%),Weather,Temperature (C) ,Location,,,,
08-02-23,17,78.25,Sunny,27,"6.867831, 79.967030",,,,
08-02-23,17,79.34,Sunny,28.6,"6.867818, 79.967296",,,,
08-02-23,9,71.81,Sunny,29.1,"6.867831, 79.967030",,,,
08-02-23,11,68.31,Windy,29.8,"6.867831, 79.967030",,,,
08-05-23,10,68.72,Cloudy,29.3,"6.867451, 79.967261",,,,
08-05-23,10,71.84,Cloudy,29.5,"6.867451, 79.967261",,,,
08-10-23,10,68.87,Cloudy,29.0,"6.867451, 79.967261",,,,
08-07-23,16,71.95,Sunny,29.1,"6.867818, 79.967296",,,,
08-02-23,16,71.64,Sunny,29.3,"6.867818, 79.967296",,,,
08-11-23,18,71,Cloudy,29.1,"6.867831, 79.967030",,,,
08-02-23,10,68.62,Sunny,29.5,"6.867818, 79.967296",,,,
08-11-23,18,71.97,Cloudy,29.5,"6.867831, 79.967030",,,,
08-12-23,9,78,Rainy,29.3,"6.867603, 79.967033",,,,
13-08-23,11,60.39,Windy,30,"6.867451, 79.967261",,,,
08-07-23,16,75.38,Sunny,29.3,"6.867818, 79.967296",,,,
08-10-23,9,71.27,Cloudy,29.3,"6.867451, 79.967261",,,,
17-08-23,11,60.86,Sunny,29.8,"6.867818, 79.967296",,,,
15-08-23,16,74.62,Windy,29.3,"6.867818, 79.967501",,,,
27-08-23,17,75.94,Rainy,29.5,"6.867603, 79.967033",,,,
21-08-23,17,78.23,Sunny,29.0,"6.867818, 79.967501",,,,
08-03-23,10,65.37,Sunny,29.1,"6.867818, 79.967296",,,,
08-08-23,16,78.23,Rainy,29.3,"6.867603, 79.967033",,,,
28-08-23,17,79.17,Sunny,29.1,"6.867451, 79.967261",,,,
31-08-23,16,79.33,Sunny,29.5,"6.867818, 79.967296",,,,
08-03-23,10,66.74,Sunny,29.5,"6.867818, 79.967296",,,,
16-08-23,10,62,Sunny,29.3,"6.867451, 79.967261",,,,
17-08-23,11,61.37,Sunny,28.5,"6.867818, 79.967296",,,,
29-08-23,17,77.37,Cloudy,29,"6.867690, 79.967585",,,,
14-08-23,10,64.55,Sunny,30.2,"6.867690, 79.967585",,,,
08-02-23,9,68.72,Sunny,27.1,"6.867818, 79.967296",,,,
14-08-23,10,67.84,Windy,29,"6.867690, 79.967585",,,,
08-06-23,10,63.88,Cloudy,29.6,"6.867831, 79.967030",,,,
18-08-23,16,76.27,Sunny,30.6,"6.867831, 79.967030",,,,
08-03-23,11,65.28,Sunny,30.5,"6.867818, 79.967296",,,,
28-08-23,17,78,Sunny,30.6,"6.867451, 79.967261",,,,
13-08-23,17,76.91,Cloudy,29.4,"6.867818, 79.967501",,,,
31-08-23,17,79.92,Sunny,30,"6.867818, 79.967296",,,,
15-08-23,17,76.93,Windy,30.1,"6.867818, 79.967501",,,,
08-07-23,16,75.14,Sunny,29,"6.867818, 79.967296",,,,
17-08-23,17,78.37,Sunny,29.8,"6.867818, 79.967296",,,,
30-08-23,18,80.68,Rainy,28.3,"6.867831, 79.967030",,,,
08-03-23,10,65.57,Sunny,29.4,"6.867818, 79.967296",,,,
14-08-23,10,64.13,Windy,29.5,"6.867690, 79.967585",,,,
18-08-23,17,79.24,Sunny,30.8,"6.867831, 79.967030",,,,
28-08-23,9,71.58,Sunny,30,"6.867451, 79.967261",,,,
15-08-23,9,68.73,Sunny,29.0,"6.867818, 79.967501",,,,
08-10-23,9,71.87,Sunny,29.5,"6.867603, 79.967033",,,,
27-08-23,10,72.63,Rainy,29.3,"6.867603, 79.967033",,,,
